DuplicateType,DuplicateKey,Count,Instances,RecommendedAction
ExactMatch,untitled document.gdoc|.gdoc|179,2,G:\Shared drives\6. SAI Development\TSi — SAI Development\4. SAI-COM AGENTS\4.3 Agent API & Data Schemas\Untitled document.gdoc | G:\Shared drives\6. SAI Development\TSi — SAI Development\4. SAI-COM AGENTS\4.4 Agent Governance Rules\Untitled document.gdoc,Review
SameFolder-SameExt,g:\shared drives\7. smart tools & hardware\tsi — smart tools & hardware\6. tsi digi-boards\6.2 sai-driven alerts & visuals|.gdoc,6,G:\Shared drives\7. Smart Tools & Hardware\TSi — Smart Tools & Hardware\6. TSI Digi-Boards\6.2 SAI-Driven Alerts & Visuals\TSI — SAI-DRIVEN ALERTS & VISUALS.gdoc | G:\Shared drives\7. Smart Tools & Hardware\TSi — Smart Tools & Hardware\6. TSI Digi-Boards\6.2 SAI-Driven Alerts & Visuals\SAI-COM EMERGENCY OVERRIDE — DEVELOPER KIT (v1.0).gdoc | G:\Shared drives\7. Smart Tools & Hardware\TSi — Smart Tools & Hardware\6. TSI Digi-Boards\6.2 SAI-Driven Alerts & Visuals\Figma Design Board – Ready-to-Paste Prompt.gdoc | G:\Shared drives\7. Smart Tools & Hardware\TSi — Smart Tools & Hardware\6. TSI Digi-Boards\6.2 SAI-Driven Alerts & Visuals\TSI Emergency UI Template — Standards Addendum (ISO 23601 + AS 3745 Compliant).gdoc | G:\Shared drives\7. Smart Tools & Hardware\TSi — Smart Tools & Hardware\6. TSI Digi-Boards\6.2 SAI-Driven Alerts & Visuals\TSI Emergency UI Template (v1.1) - Style Guide.gdoc | G:\Shared drives\7. Smart Tools & Hardware\TSi — Smart Tools & Hardware\6. TSI Digi-Boards\6.2 SAI-Driven Alerts & Visuals\TSI Digi-Board Display & Alert Logic Specification v1.1 (Condensed).gdoc,Review
SameFolder-SameExt,g:\shared drives\7. smart tools & hardware\tsi — smart tools & hardware\6. tsi digi-boards\6.4 recommended layouts|.gdoc,3,G:\Shared drives\7. Smart Tools & Hardware\TSi — Smart Tools & Hardware\6. TSI Digi-Boards\6.4 Recommended Layouts\TSI — DIGI-BOARD RECOMMENDED LAYOUTS v1.0 MASTER.gdoc | G:\Shared drives\7. Smart Tools & Hardware\TSi — Smart Tools & Hardware\6. TSI Digi-Boards\6.4 Recommended Layouts\DIGI BOARD — EMERGENCY UI TEMPLATE (DESIGN SPEC).gdoc | G:\Shared drives\7. Smart Tools & Hardware\TSi — Smart Tools & Hardware\6. TSI Digi-Boards\6.4 Recommended Layouts\TSI DIGI BOARD — FIGMA ARTBOARD PACK (FINAL SPEC).gdoc,Review
SameFolder-SameExt,g:\shared drives\7. smart tools & hardware\tsi — smart tools & hardware\10. roadmap (v1 → v2 → v3)\10.5 go-to-market & channel roadmap|.gdoc,2,G:\Shared drives\7. Smart Tools & Hardware\TSi — Smart Tools & Hardware\10. Roadmap (v1 → v2 → v3)\10.5 Go-to-Market & Channel Roadmap\TSI — Smart Tools Hardware Pricing Table Version  v1.0 (MASTER).gdoc | G:\Shared drives\7. Smart Tools & Hardware\TSi — Smart Tools & Hardware\10. Roadmap (v1 → v2 → v3)\10.5 Go-to-Market & Channel Roadmap\TSI — Smart Tools GTM & Channel Roadmap v1.0.gdoc,Review
SameFolder-SameExt,"g:\shared drives\7. smart tools & hardware\tsi — smart tools & hardware\13. sales kits, product sheets & investor packs\13.4 pitch deck slides (hardware section)|.gdoc",2,"G:\Shared drives\7. Smart Tools & Hardware\TSi — Smart Tools & Hardware\13. Sales Kits, Product Sheets & Investor Packs\13.4 Pitch Deck Slides (Hardware Section)\TSI Pitch Deck - Hardware Section.gdoc | G:\Shared drives\7. Smart Tools & Hardware\TSi — Smart Tools & Hardware\13. Sales Kits, Product Sheets & Investor Packs\13.4 Pitch Deck Slides (Hardware Section)\13.3 — SECTOR-SPECIFIC USE CASES.gdoc",Review
SameFolder-SameExt,g:\shared drives\tsi product services\tsi sai-com and ims eco system|.pdf,2,G:\Shared drives\TSI Product Services\TSI SAI-COM and IMS ECO SYSTEM\The_Integrated_Operational_Doctrine.pdf | G:\Shared drives\TSI Product Services\TSI SAI-COM and IMS ECO SYSTEM\SAI-COM_The_Operational_Intelligence_Engine.pdf,Review
SameFolder-SameExt,g:\shared drives\tsi product services\tsi sai-com and ims eco system|.mp4,2,G:\Shared drives\TSI Product Services\TSI SAI-COM and IMS ECO SYSTEM\TechSafe__A_Source_of_Truth.mp4 | G:\Shared drives\TSI Product Services\TSI SAI-COM and IMS ECO SYSTEM\Demystifying_SAI-COM.mp4,Review
SameFolder-SameExt,g:\shared drives\tsi product services\tsi sai-com and ims eco system|.png,2,G:\Shared drives\TSI Product Services\TSI SAI-COM and IMS ECO SYSTEM\IMS Real Time Safety System.png | G:\Shared drives\TSI Product Services\TSI SAI-COM and IMS ECO SYSTEM\SAI-COM 4 step process.png,Review
SameFolder-SameExt,g:\shared drives\tsi product services\tsi - industry packs|.png,2,G:\Shared drives\TSI Product Services\TSI - Industry Packs\NotebookLM Mind Map (1).png | G:\Shared drives\TSI Product Services\TSI - Industry Packs\unnamed (3).png,Review
SameFolder-SameExt,g:\shared drives\7. smart tools & hardware\tsi — smart tools & hardware\6. tsi digi-boards\6.1 hardware + connectivity|.gdoc,2,G:\Shared drives\7. Smart Tools & Hardware\TSi — Smart Tools & Hardware\6. TSI Digi-Boards\6.1 Hardware + Connectivity\TSI — DIGI-BOARD HARDWARE & CONNECTIVITY SPECIFICATIONS v1.0 MASTER.gdoc | G:\Shared drives\7. Smart Tools & Hardware\TSi — Smart Tools & Hardware\6. TSI Digi-Boards\6.1 Hardware + Connectivity\TSI-OS SPECIFICATION LOOK CMS — CAPABILITIES & LIMITATIONS v1.0.gdoc,Review
SameFolder-SameExt,g:\shared drives\6. sai development\tsi — sai development\4. sai-com agents\4.2 agent logic blueprints|.gdoc,2,G:\Shared drives\6. SAI Development\TSi — SAI Development\4. SAI-COM AGENTS\4.2 Agent Logic Blueprints\Agent Logic Blueprint v1.1.gdoc | G:\Shared drives\6. SAI Development\TSi — SAI Development\4. SAI-COM AGENTS\4.2 Agent Logic Blueprints\Agent Logic Blueprints v1.0.gdoc,Review
SameFolder-SameExt,g:\shared drives\6. sai development\tsi — sai development\4. sai-com agents\4.3 agent api & data schemas|.gdoc,2,G:\Shared drives\6. SAI Development\TSi — SAI Development\4. SAI-COM AGENTS\4.3 Agent API & Data Schemas\Untitled document.gdoc | G:\Shared drives\6. SAI Development\TSi — SAI Development\4. SAI-COM AGENTS\4.3 Agent API & Data Schemas\Agent API & Data Schemas.gdoc,Review
SameFolder-SameExt,g:\shared drives\6. sai development\tsi — sai development\4. sai-com agents\sai-com operational intelligence system|.gdoc,2,G:\Shared drives\6. SAI Development\TSi — SAI Development\4. SAI-COM AGENTS\SAI-COM OPERATIONAL INTELLIGENCE SYSTEM\TSI-OS 06 — SAI-COM OPERATIONAL INTELLIGENCE SYSTEM Developer Specification (V1.2 — Condensed).gdoc | G:\Shared drives\6. SAI Development\TSi — SAI Development\4. SAI-COM AGENTS\SAI-COM OPERATIONAL INTELLIGENCE SYSTEM\SAI-COM BEHAVIOUR DOCUMENT v2.1.gdoc,Review
SameFolder-SameExt,g:\shared drives\6. sai development\tsi — sai development\4. sai-com agents\4.4 agent governance rules|.gdoc,2,G:\Shared drives\6. SAI Development\TSi — SAI Development\4. SAI-COM AGENTS\4.4 Agent Governance Rules\Untitled document.gdoc | G:\Shared drives\6. SAI Development\TSi — SAI Development\4. SAI-COM AGENTS\4.4 Agent Governance Rules\Agent Governance Rules.gdoc,Review
SameFolder-SameExt,g:\shared drives\6. sai development\tsi — sai development\3. tsi — sai safety assessment engine\3 — assessment question packs (tsi v1)\3.3 planet pack (environment   spills   impact)|.gdoc,2,G:\Shared drives\6. SAI Development\TSi — SAI Development\3. TSI — SAI SAFETY ASSESSMENT ENGINE\3 — ASSESSMENT QUESTION PACKS (TSI v1)\3.3 Planet Pack (Environment   Spills   Impact)\TSI — SAI PLANET QUESTION PACK v1.0 MASTER.gdoc | G:\Shared drives\6. SAI Development\TSi — SAI Development\3. TSI — SAI SAFETY ASSESSMENT ENGINE\3 — ASSESSMENT QUESTION PACKS (TSI v1)\3.3 Planet Pack (Environment   Spills   Impact)\TSI — SAI PLANET QUESTION PACK.gdoc,Review
SameFolder-SameExt,g:\shared drives\7. smart tools & hardware\tsi — smart tools & hardware\6. tsi digi-boards|.pptx,2,G:\Shared drives\7. Smart Tools & Hardware\TSi — Smart Tools & Hardware\6. TSI Digi-Boards\TechSafe PM Guide.pptx | G:\Shared drives\7. Smart Tools & Hardware\TSi — Smart Tools & Hardware\6. TSI Digi-Boards\TechSafe Website Ideas.pptx,Review
SameFolder-SameExt,g:\shared drives\6. sai development\tsi — sai development\1. tsi — sai command pack v1.0 (master)\1. sai core identity|.gdoc,2,G:\Shared drives\6. SAI Development\TSi — SAI Development\1. TSI — SAI COMMAND PACK v1.0 (MASTER)\1. SAI CORE IDENTITY\SAI Core Identity.gdoc | G:\Shared drives\6. SAI Development\TSi — SAI Development\1. TSI — SAI COMMAND PACK v1.0 (MASTER)\1. SAI CORE IDENTITY\SAI — CORE IDENTITY v1.1 (MASTER).gdoc,Review
